prname,pruid,reporting_year,reporting_week,date,numtests_weekly,percentpositivity_weekly,update
Prince Edward Island,11,2023,51,2023-12-23,263,10.3,1
Yukon,60,2023,51,2023-12-23,62,14.5,1
Northwest Territories,61,2023,51,2023-12-23,64,1.6,1
Nunavut,62,2023,51,2023-12-23,239,10.9,1
Canada,1,2023,51,2023-12-23,48372,16.8,
British Columbia,59,2023,52,2023-12-30,4930,8.6,1
Alberta,48,2023,52,2023-12-30,6299,9.4,1
Saskatchewan,47,2023,52,2023-12-30,1899,11.3,1
Manitoba,46,2023,52,2023-12-30,2116,10.4,1
Ontario,35,2023,52,2023-12-30,11522,17.7,1
Quebec,24,2023,52,2023-12-30,15739,19.6,1
Newfoundland and Labrador,10,2023,52,2023-12-30,695,14,1
New Brunswick,13,2023,52,2023-12-30,1522,11.2,1
Nova Scotia,12,2023,52,2023-12-30,1672,18.5,1
Prince Edward Island,11,2023,52,2023-12-30,345,12.5,1
Yukon,60,2023,52,2023-12-30,53,7.5,1
Northwest Territories,61,2023,52,2023-12-30,64,1.6,1
Nunavut,62,2023,52,2023-12-30,141,5.7,1
Canada,1,2023,52,2023-12-30,46997,15.4,
British Columbia,59,2024,1,2024-01-06,5300,9.6,1
Alberta,48,2024,1,2024-01-06,6277,10.8,1
Saskatchewan,47,2024,1,2024-01-06,2357,10.8,1
Manitoba,46,2024,1,2024-01-06,1943,10,1
Ontario,35,2024,1,2024-01-06,11545,16.8,1
Quebec,24,2024,1,2024-01-06,15874,17.7,1
Newfoundland and Labrador,10,2024,1,2024-01-06,743,14.3,1
New Brunswick,13,2024,1,2024-01-06,1624,10,1
Nova Scotia,12,2024,1,2024-01-06,1732,15.8,1
Prince Edward Island,11,2024,1,2024-01-06,372,7,1
Yukon,60,2024,1,2024-01-06,64,23.4,1
Northwest Territories,61,2024,1,2024-01-06,77,3.9,1
Nunavut,62,2024,1,2024-01-06,152,2,1
Canada,1,2024,1,2024-01-06,48060,14.5,
British Columbia,59,2024,2,2024-01-13,4862,12.5,1
Alberta,48,2024,2,2024-01-13,5591,10.6,1
Saskatchewan,47,2024,2,2024-01-13,2079,9.9,1
Manitoba,46,2024,2,2024-01-13,1805,7.9,1
Ontario,35,2024,2,2024-01-13,11346,14.3,1
Quebec,24,2024,2,2024-01-13,13921,14.8,1
Newfoundland and Labrador,10,2024,2,2024-01-13,974,15,1
New Brunswick,13,2024,2,2024-01-13,1345,9,1
Nova Scotia,12,2024,2,2024-01-13,1684,14,1
Prince Edward Island,11,2024,2,2024-01-13,330,5.2,1
Yukon,60,2024,2,2024-01-13,51,9.8,1
Northwest Territories,61,2024,2,2024-01-13,74,8.1,1
Nunavut,62,2024,2,2024-01-13,127,3.9,1
Canada,1,2024,2,2024-01-13,44189,13,
British Columbia,59,2024,3,2024-01-20,4141,10.9,1
Alberta,48,2024,3,2024-01-20,5194,10,1
Saskatchewan,47,2024,3,2024-01-20,1837,11.5,1
Manitoba,46,2024,3,2024-01-20,1560,7.8,1
Ontario,35,2024,3,2024-01-20,9942,12.9,1
Quebec,24,2024,3,2024-01-20,11599,11.6,1
Newfoundland and Labrador,10,2024,3,2024-01-20,729,10.6,1
New Brunswick,13,2024,3,2024-01-20,1217,8.7,1
Nova Scotia,12,2024,3,2024-01-20,1559,13,1
Prince Edward Island,11,2024,3,2024-01-20,245,5.7,1
Yukon,60,2024,3,2024-01-20,44,6.8,1
Northwest Territories,61,2024,3,2024-01-20,38,2.6,1
Nunavut,62,2024,3,2024-01-20,85,3.5,1
Canada,1,2024,3,2024-01-20,38190,11.4,
British Columbia,59,2024,4,2024-01-27,4459,11.9,1
Alberta,48,2024,4,2024-01-27,5080,9.3,1
Saskatchewan,47,2024,4,2024-01-27,1723,8.9,1
Manitoba,46,2024,4,2024-01-27,1555,7.7,1
Ontario,35,2024,4,2024-01-27,9238,11.4,1
Quebec,24,2024,4,2024-01-27,11052,9.8,1
Newfoundland and Labrador,10,2024,4,2024-01-27,832,6.6,1
New Brunswick,13,2024,4,2024-01-27,1131,9.2,1
Nova Scotia,12,2024,4,2024-01-27,1563,12,1
Prince Edward Island,11,2024,4,2024-01-27,258,5,1
Yukon,60,2024,4,2024-01-27,59,1.7,1
Northwest Territories,61,2024,4,2024-01-27,44,4.5,1
Nunavut,62,2024,4,2024-01-27,95,5.3,1
Canada,1,2024,4,2024-01-27,37089,10.2,
British Columbia,59,2024,5,2024-02-03,4420,10.6,1
Alberta,48,2024,5,2024-02-03,4970,10.4,1
Saskatchewan,47,2024,5,2024-02-03,1814,8.1,1
Manitoba,46,2024,5,2024-02-03,1481,8.5,1
Ontario,35,2024,5,2024-02-03,9011,9.8,1
Quebec,24,2024,5,2024-02-03,10995,8.6,1
Newfoundland and Labrador,10,2024,5,2024-02-03,843,9,1
New Brunswick,13,2024,5,2024-02-03,1224,8.7,1
Nova Scotia,12,2024,5,2024-02-03,1585,9.3,1
Prince Edward Island,11,2024,5,2024-02-03,256,4.7,1
Yukon,60,2024,5,2024-02-03,60,13.3,1
Northwest Territories,61,2024,5,2024-02-03,36,2.8,1
Nunavut,62,2024,5,2024-02-03,76,1.3,1
Canada,1,2024,5,2024-02-03,36771,9.3,
British Columbia,59,2024,6,2024-02-10,3944,10.7,1
Alberta,48,2024,6,2024-02-10,4855,9.9,1
Saskatchewan,47,2024,6,2024-02-10,1704,10.3,1
Manitoba,46,2024,6,2024-02-10,1483,10.7,1
Ontario,35,2024,6,2024-02-10,8519,8.5,1
Quebec,24,2024,6,2024-02-10,10544,7.3,1
Newfoundland and Labrador,10,2024,6,2024-02-10,757,9.1,1
New Brunswick,13,2024,6,2024-02-10,1174,8.6,1
Nova Scotia,12,2024,6,2024-02-10,1368,9.7,1
Prince Edward Island,11,2024,6,2024-02-10,200,2.5,1
Yukon,60,2024,6,2024-02-10,45,8.9,1
Northwest Territories,61,2024,6,2024-02-10,31,9.7,1
Nunavut,62,2024,6,2024-02-10,120,5.8,1
Canada,1,2024,6,2024-02-10,34744,8.8,
British Columbia,59,2024,7,2024-02-17,3725,10.9,1
Alberta,48,2024,7,2024-02-17,4776,9.1,1
Saskatchewan,47,2024,7,2024-02-17,1731,8.5,1
Manitoba,46,2024,7,2024-02-17,1472,10.9,1
Ontario,35,2024,7,2024-02-17,7725,7.5,1
Quebec,24,2024,7,2024-02-17,11084,6.6,1
Newfoundland and Labrador,10,2024,7,2024-02-17,684,9.2,1
New Brunswick,13,2024,7,2024-02-17,1123,8.2,1
Nova Scotia,12,2024,7,2024-02-17,1185,9.9,1
Prince Edward Island,11,2024,7,2024-02-17,193,6.2,1
Yukon,60,2024,7,2024-02-17,52,11.5,1
Northwest Territories,61,2024,7,2024-02-17,36,0,1
Nunavut,62,2024,7,2024-02-17,109,6.4,1
Canada,1,2024,7,2024-02-17,33895,8.1,
